url_length,count_digits,has_at,has_https,count_dots,has_hyphen,has_ip,count_special_chars,count_slash,path_length,count_subdomains,has_suspicious_words,url_entropy,digit_ratio,has_port,tld_length,is_shortened_url,label
24.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.8035088547976783,0.0,0.0,3.0,0.0,0
30.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,4.0980685120588385,0.1,0.0,3.0,0.0,1
25.0,11.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,4.0,2.0,0.0,3.943465189601647,0.44,0.0,2.0,0.0,1
18.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.8365916681089787,0.1111111111111111,0.0,3.0,0.0,0
18.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.8365916681089787,0.0,0.0,2.0,0.0,0
14.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.521640636343318,0.0,0.0,3.0,0.0,0
21.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.7489948035250964,0.09523809523809523,0.0,3.0,0.0,0
17.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.7345216647797512,0.0,0.0,3.0,0.0,0
30.0,12.0,0.0,0.0,3.0,0.0,1.0,0.0,4.0,9.0,2.0,0.0,4.148394345536404,0.4,0.0,2.0,0.0,1
34.0,16.0,0.0,0.0,4.0,0.0,1.0,0.0,3.0,6.0,2.0,0.0,3.959094371350331,0.47058823529411764,1.0,9.0,0.0,1
107.0,27.0,0.0,1.0,2.0,1.0,0.0,5.0,3.0,77.0,1.0,0.0,5.225999903051417,0.2523364485981308,0.0,2.0,0.0,1
23.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.588354347173233,0.0,0.0,2.0,0.0,0
29.0,9.0,0.0,0.0,4.0,0.0,1.0,0.0,3.0,9.0,2.0,0.0,3.9783335811852636,0.3103448275862069,0.0,3.0,0.0,1
